product_id,product_name,category,price,brand
P00001,Nestle Tea Plus,Groceries,40418.03,Nestle
P00002,Reebok Badminton Racket Lite,Sports,26492.72,Reebok
P00003,Dove Shampoo Lite,Beauty,39405.8,Dove
P00004,Britannia Biscuits Pro,Groceries,40063.86,Britannia
P00005,Britannia Tea Plus,Groceries,91170.21,Britannia
P00006,Scholastic Workbook Pro,Books,61804.14,Scholastic
P00007,Britannia Cereal Max,Groceries,47596.7,Britannia
P00008,Britannia Rice Standard,Groceries,71100.28,Britannia
P00009,Reebok Football Pro,Sports,74211.6,Reebok
P00010,Maybelline Soap Lite,Beauty,13438.94,Maybelline
P00011,Urban Ladder Bed Frame Pro,Furniture,95483.98,Urban Ladder
P00012,,Fashion,9071.79,Nike
P00013,Ikea Study Table Pro,Furniture,41296.05,Ikea
P00014,HarperCollins Textbook Plus,Books,12121.14,HarperCollins
P00015,Oxford Notebook Standard,Books,27767.29,Oxford
P00016,Bosch Mixer Grinder Lite,Home Appliances,47965.45,Bosch
P00017,Zara Kurta Max,Fashion,22633.93,Zara
P00018,Tata Cereal Standard,Groceries,78495.11,Tata
P00019,McGrawHill Novel Deluxe,Books,43574.95,McGrawHill
P00020,Oxford Textbook Max,Books,24543.28,Oxford
P00021,Ikea Bed Frame Lite,Furniture,22155.37,Ikea
P00022,Asus Camera Standard,Electronics,94805.97,Asus
P00023,H&M Sneakers Deluxe,Fashion,77158.54,H&M
P00024,IFB Ceiling Fan Plus,Home Appliances,66464.53,IFB
P00025,Reebok Football Standard,Sports,18591.29,Reebok
P00026,Philips Ceiling Fan Standard,Home Appliances,89788.97,Philips
P00027,Panasonic Water Purifier Plus,Home Appliances,38369.77,Panasonic
P00028,Oxford Textbook Max,Books,74008.15,Oxford
P00029,LG Vacuum Cleaner Deluxe,Home Appliances,79691.18,LG
P00030,HarperCollins Notebook Max,Books,78097.88,HarperCollins
P00031,HomeTown Office Chair Pro,Furniture,3779.14,HomeTown
P00032,Nivea Moisturizer Deluxe,Beauty,26177.17,Nivea
P00033,Adidas Sneakers Deluxe,Fashion,39926.68,Adidas
P00034,IFB Water Purifier Plus,Home Appliances,90780.23,IFB
P00035,Acer Mouse Standard,Electronics,88749.42,Acer
P00036,Adidas Dress Standard,Fashion,99063.64,Adidas
P00037,Nilkamal Bookshelf Lite,Furniture,73261.69,Nilkamal
P00038,Oxford Workbook Lite,Books,23142.95,Oxford
P00039,Urban Ladder Dining Table Max,Furniture,12894.75,Urban Ladder
P00040,Tata Tea Pro,Groceries,79060.6,Tata
P00041,Scholastic Notebook Pro,Books,25756.67,Scholastic
P00042,Lakme Soap Plus,Beauty,95349.49,Lakme
P00043,Aashirvaad Tea Pro,Groceries,6725.56,Aashirvaad
P00044,Adidas Basketball Standard,Sports,64601.48,Adidas
P00045,Asus Camera Pro,Electronics,98530.23,Asus
P00046,McGrawHill Guidebook Standard,Books,72659.27,McGrawHill
P00047,Ikea Study Table Plus,Furniture,37429.23,Ikea
P00048,IFB Water Purifier Max,Home Appliances,4108.39,IFB
P00049,Adidas Jeans Plus,Fashion,89036.34,Adidas
P00050,Lenovo Tablet Plus,Electronics,67974.17,Lenovo
P00051,Nivea Lipstick Pro,Beauty,97244.52,Nivea
P00052,Godrej Sofa Lite,Furniture,69920.84,Godrej
P00053,Yonex Yoga Mat Lite,Sports,40981.7,Yonex
P00054,Nike Saree Lite,Fashion,81453.34,Nike
P00055,Maybelline Moisturizer Standard,Beauty,20189.37,Maybelline
P00056,H&M Cap Max,Fashion,2625.75,H&M
P00057,Whirlpool Water Purifier Standard,Home Appliances,7859.64,Whirlpool
P00058,Godrej Study Table Standard,Furniture,36597.21,Godrej
P00059,Scholastic Textbook Lite,Books,21046.57,Scholastic
P00060,Yonex Running Shoes Max,Sports,95122.97,Yonex
P00061,Penguin Guidebook Max,Books,30065.57,Penguin
P00062,Zara Jacket Lite,Fashion,26860.06,Zara
P00063,Godrej Bed Frame Plus,Furniture,58759.64,Godrej
P00064,Urban Ladder Bookshelf Standard,Furniture,82262.5,Urban Ladder
P00065,Penguin Children Book Standard,Books,84108.54,Penguin
P00066,Panasonic Water Purifier Lite,Home Appliances,54107.34,Panasonic
P00067,HarperCollins Guidebook Pro,Books,72641.11,HarperCollins
P00068,HP Smartphone Lite,Electronics,56949.64,HP
P00069,Oxford Dictionary Deluxe,Books,4742.52,Oxford
P00070,H&M Jeans Pro,Fashion,64869.41,H&M
P00071,Kellogg's Cereal Max,Groceries,77318.93,Kellogg's
P00072,Aashirvaad Biscuits Plus,Groceries,24897.91,Aashirvaad
P00073,Adidas Football Pro,Sports,60280.92,Adidas
P00074,Whirlpool Mixer Grinder Max,Home Appliances,65495.75,Whirlpool
P00075,Nilkamal Bookshelf Deluxe,Furniture,10949.11,Nilkamal
P00076,Lenovo Smartwatch Max,Electronics,99987.83,Lenovo
P00077,Sony Smartphone Pro,Electronics,88413.26,Sony
P00078,Godrej Office Chair Max,Furniture,16010.74,Godrej
P00079,Nike Yoga Mat Lite,Sports,32016.9,Nike
P00080,Tata Wheat Flour Standard,Groceries,94003.79,Tata
P00081,Lenovo Keyboard Plus,Electronics,51171.37,Lenovo
P00082,Scholastic Guidebook Lite,Books,15344.61,Scholastic
P00083,Kellogg's Coffee Max,Groceries,69274.47,Kellogg's
P00084,LG Smartphone Max,Electronics,23708.57,LG
P00085,Adidas Cap Max,Fashion,94120.36,Adidas
P00086,Nivea Face Wash Standard,Beauty,65927.57,Nivea
P00087,LG Camera Standard,Electronics,72938.49,LG
P00088,Philips Washing Machine Plus,Home Appliances,78836.83,Philips
P00089,Penguin Novel Max,Books,30398.74,Penguin
P00090,Asus Smartphone Deluxe,Electronics,10542.67,Asus
P00091,Godrej Wardrobe Standard,Furniture,95637.03,Godrej
P00092,LG Printer Standard,Electronics,46755.37,LG
P00093,Yonex Cricket Bat Plus,Sports,59918.51,Yonex
P00094,Puma Hoodie Lite,Fashion,61826.35,Puma
P00095,Apple Monitor Deluxe,Electronics,54182.57,Apple
P00096,Scholastic Novel Deluxe,Books,69291.48,Scholastic
P00097,Adidas Dumbbells Max,Sports,96085.05,Adidas
P00098,Penguin Textbook Standard,Books,74419.43,Penguin
P00099,Oxford Textbook Plus,Books,94306.62,Oxford
P00100,HP Headphones Pro,Electronics,25692.37,HP
P00101,Amul Cereal Deluxe,Groceries,68610.55,Amul
P00102,Biotique Conditioner Pro,Beauty,78534.64,Biotique
P00103,Maybelline Shampoo Plus,Beauty,93182.93,Maybelline
P00104,Acer Keyboard Max,Electronics,54683.72,Acer
P00105,Puma Sneakers Plus,Fashion,26026.94,Puma
P00106,McGrawHill Novel Standard,Books,22978.94,McGrawHill
P00107,Zara T-Shirt Max,Fashion,43851.16,Zara
P00108,Nivea Lipstick Max,Beauty,85828.11,Nivea
P00109,HarperCollins Textbook Deluxe,Books,31737.56,HarperCollins
P00110,Lakme Conditioner Lite,Beauty,7090.13,Lakme
P00111,Nestle Biscuits Max,Groceries,22689.28,Nestle
P00112,Panasonic Ceiling Fan Standard,Home Appliances,95553.94,Panasonic
P00113,Nivea Perfume Deluxe,Beauty,70056.67,Nivea
P00114,IFB Mixer Grinder Pro,Home Appliances,22918.6,IFB
P00115,Kellogg's Tea Pro,Groceries,76917.85,Kellogg's
P00116,HomeTown Office Chair Pro,Furniture,85597.67,HomeTown
P00117,Nike Sneakers Max,Fashion,5670.62,Nike
P00118,Scholastic Notebook Pro,Books,22794.02,Scholastic
P00119,Nike Sneakers Deluxe,Fashion,71018.06,Nike
P00120,Bosch Microwave Standard,Home Appliances,94702.21,Bosch
P00121,H&M Cap Plus,Fashion,4577.1,H&M
P00122,H&M T-Shirt Plus,Fashion,20766.11,H&M
P00123,Penguin Notebook Deluxe,Books,32256.99,Penguin
P00124,Samsung Printer Lite,Electronics,97174.63,Samsung
P00125,HarperCollins Children Book Max,Books,19465.26,HarperCollins
P00126,Nilkamal Study Table Lite,Furniture,18853.36,Nilkamal
P00127,L'Oreal Face Wash Plus,Beauty,57389.56,L'Oreal
P00128,Philips Ceiling Fan Deluxe,Home Appliances,68443.29,Philips
P00129,Adidas Saree Max,Fashion,54321.82,Adidas
P00130,McGrawHill Guidebook Plus,Books,12033.45,McGrawHill
P00131,Lenovo Mouse Standard,Electronics,42570.83,Lenovo
P00132,Dove Lipstick Lite,Beauty,77838.37,Dove
P00133,Cosco Yoga Mat Deluxe,Sports,9647.91,Cosco
P00134,LG Camera Max,Electronics,92996.96,LG
P00135,Zara T-Shirt Pro,Fashion,69689.49,Zara
P00136,Adidas Cricket Bat Lite,Sports,85676.65,Adidas
P00137,,Sports,47245.78,Reebok
P00138,Yonex Yoga Mat Pro,Sports,21173.1,Yonex
P00139,LG Washing Machine Standard,Home Appliances,14824.96,LG
P00140,LG Mixer Grinder Plus,Home Appliances,85126.02,LG
P00141,Cosco Football Max,Sports,45150.48,Cosco
P00142,Godrej Bookshelf Max,Furniture,29070.67,Godrej
P00143,Nike Basketball Standard,Sports,32420.25,Nike
P00144,Dove Moisturizer Max,Beauty,60100.77,Dove
P00145,LG Camera Pro,Electronics,30661.01,LG
P00146,McGrawHill Children Book Standard,Books,96012.97,McGrawHill
P00147,Dove Soap Standard,Beauty,86643.04,Dove
P00148,L'Oreal Perfume Pro,Beauty,39620.12,L'Oreal
