transaction_id,customer_id,store_id,transaction_timestamp,total_amount
T000001,C06403,S01240,2025-05-05 22:31:00,95112.35
T000002,C03283,S09639,2026-02-05 11:14:00,108542.21
T000003,C01791,S08856,2025-08-25 01:08:00,98837.25
T000004,C01273,S02106,2025-07-07 06:13:00,98724.29
T000005,C04386,S08470,2026-01-26 00:07:00,50938.83
T000006,C00150,S03265,2025-01-24 10:06:00,66994.41
T000007,C11482,S00577,2025-06-25 13:11:00,127350.17
T000008,C10053,S09965,2025-10-24 13:48:00,126206.97
T000009,C00055,S08928,2025-08-20 19:48:00,11366.0
T000010,C09302,S04227,2025-07-25 19:53:00,118745.6
T000011,C05395,S09236,2025-09-21 07:09:00,56091.56
T000012,C09900,S06594,2026-01-13 02:16:00,121235.8
T000013,C01195,S07555,2026-01-06 15:54:00,112618.07
T000014,C00248,S08133,2025-07-14 15:23:00,86409.37
T000015,C06672,S04457,2025-10-31 10:08:00,116315.76
T000016,C06868,S07190,2025-06-12 06:51:00,114513.02
T000017,C00902,S01459,2025-01-07 01:19:00,69750.75
T000018,C03229,S09217,2025-04-30 18:00:00,12762.93
T000019,C05828,S04168,2025-09-12 06:17:00,72419.44
T000020,C09400,S03172,2026-02-06 21:09:00,121133.86
T000021,C05268,S04941,2025-08-29 17:33:00,155041.19
T000022,C00881,S10337,2025-03-13 18:51:00,51282.28
T000023,C02581,S05743,2025-08-20 10:50:00,49249.66
T000024,C02122,S03982,2025-02-10 03:49:00,15648.57
T000025,C05517,S06098,2025-09-04 22:47:00,159395.07
T000026,C11028,S10290,2025-12-30 12:16:00,116098.06
T000027,C12199,S05169,2025-12-24 01:09:00,148365.12
T000028,C08616,S08581,2025-10-25 15:54:00,97330.89
T000029,C04911,S04231,2025-11-28 13:06:00,27094.61
T000030,C07926,S10054,2025-08-12 23:39:00,101754.09
T000031,C00260,S06534,2025-10-14 00:27:00,27236.93
T000032,C01841,S05421,2025-10-30 02:40:00,102428.4
T000033,C02953,S01891,2025-09-18 16:33:00,53287.07
T000034,C10685,S06185,2025-11-20 02:41:00,142015.08
T000035,C08284,S04748,2026-01-12 23:53:00,164771.11
T000036,C06422,S00521,2025-04-06 15:35:00,153889.21
T000037,C04807,S00130,2025-04-15 10:54:00,103323.1
T000038,C00061,S01150,2025-10-16 12:18:00,95462.64
T000039,C11177,S02071,2026-03-04 17:17:00,108267.05
T000040,C01342,S09990,2025-08-02 02:42:00,33602.44
T000041,C08175,S09069,2025-12-28 10:35:00,114648.1
T000042,C02541,S03513,2025-02-09 10:31:00,145395.52
T000043,C07832,S03389,2025-12-25 06:53:00,60877.72
