line_item_id,transaction_id,product_id,quantity,price
1,T3808,P506,4,1718.77
2,T1715,P351,5,30426.13
3,T20594,P202,2,1109.95
4,T8882,P289,3,32774.09
5,T9746,P256,3,24118.08
6,T9443,P557,3,687.48
7,T10406,P425,5,47931.49
8,T1494,P386,4,36875.61
9,T13211,P219,3,3543.4
10,T1155,P495,5,42262.57
11,T10628,P164,4,1924.91
12,T14544,P360,4,26121.76
13,T18690,P405,3,2485.59
14,T14949,P292,3,28054.35
15,T18129,P227,1,17489.92
16,T17249,P534,5,6531.48
17,T2950,P400,3,43997.15
18,T13671,P418,2,42907.98
19,T10435,P498,5,22458.17
20,T14555,P291,5,324.24
21,T19920,P227,1,21848.26
22,T3687,P372,4,32818.4
23,T14382,P593,5,36198.03
24,T19661,P497,,38642.86
25,T5333,P314,1,13403.82
26,T6096,P444,1,45593.17
27,T3067,P237,5,47139.15
28,T1661,P311,3,36000.9
29,T9994,P459,1,21669.05
30,T15438,P192,2,40219.67
31,T12184,P490,1,42278.84
32,T2039,P434,4,45315.6
33,T2096,P195,1,39195.84
34,T8604,P146,4,45270.74
35,T14561,P427,2,42288.97
36,T20801,P141,4,29705.58
37,T16747,P176,5,32337.0
38,T14230,P182,3,34489.83
39,T11538,P332,4,39515.74
40,T13104,P591,3,39769.32
41,T1233,P488,2,4393.68
42,T10935,P561,2,1035.02
43,T18207,P406,2,32759.18
44,T18337,P407,2,8898.17
45,T16116,P573,3,12132.1
46,T6940,P374,3,10043.39
47,T9242,P293,1,16591.89
48,T1072,P298,2,28422.65
49,T19057,P269,1,3212.61
50,T2405,P353,3,23664.74
51,T19135,P143,1,35596.05
52,T9458,P559,4,48340.23
53,T14481,P486,4,40001.17
54,T9873,P399,4,8109.31
55,T11402,P598,5,45754.01
56,T1891,P384,5,3627.86
57,T8274,P572,3,14048.84
58,T18712,P179,5,44491.27
59,T10197,P356,,18486.05
60,T16508,P140,2,48151.19
61,T9184,P344,5,46955.64
62,T8999,P196,2,40329.94
63,T13288,P337,1,44258.2
64,T3059,P271,1,39751.54
65,T7522,P374,3,9143.26
66,T11186,P592,3,42403.23
67,T5509,P122,2,10287.59
68,T9265,P340,2,10931.29
69,T15844,P169,4,3542.86
70,T1094,P192,5,15793.52
71,T13451,P435,3,42115.46
72,T3978,P307,4,20523.21
73,T3871,P563,3,25338.28
74,T15206,P325,5,35620.53
75,T20065,P268,4,45849.52
76,T4230,P184,1,26732.98
77,T3473,P180,4,32030.47
78,T7503,P554,3,16079.06
79,T1680,P285,3,46362.89
80,T19701,P466,1,40465.52
81,T15745,P198,1,43640.71
82,T14057,P369,2,31050.71
83,T11546,P589,3,28388.34
84,T20142,P322,5,37672.58
85,T3280,P488,1,989.28
86,T5372,P255,1,44669.1
87,T14689,P283,4,28955.89
88,T11169,P558,2,8340.68
89,T20782,P480,3,47119.82
90,T11696,P295,5,49210.03
91,T13531,P192,3,48342.32
92,T12907,P195,5,30006.62
93,T15326,P135,2,22486.24
94,T12784,P145,3,2230.03
95,T3560,P196,1,18305.97
96,T8639,P301,4,48300.46
97,T1509,P354,4,10134.96
98,T1734,P235,5,37355.05
99,T5924,P398,4,28417.54
100,T20263,P197,2,7573.65
101,T6145,P367,1,25352.52
102,T8096,P527,2,15848.81
103,T19418,P109,3,3048.72
104,T18352,P109,1,32849.24
105,T15481,P493,5,33782.13
106,T11754,P347,2,5516.5
107,T14199,P494,5,43784.08
108,T3222,P267,5,13376.36
109,T8765,P210,1,33071.69
110,T17112,P539,3,10739.54
111,T17842,P443,5,14142.97
112,T4599,P401,1,7249.18
113,T19038,P108,4,22922.66
114,T14893,P252,2,33449.69
115,T4963,P446,1,43884.57
116,T15594,P143,1,24159.27
117,T1445,P294,1,32076.0
118,T19144,P265,1,19831.56
119,T10120,P239,4,21820.6
120,T11812,P235,1,24076.52
121,T5060,P304,1,28726.7
122,T8257,P125,5,46284.46
123,T11358,P447,3,9479.88
124,T19778,P549,3,29989.56
125,T15869,P592,2,37548.78
126,T6880,P245,2,44269.89
